id,professor
0,Departmental Staff
1,Charles D Piot
2,Vasant Kaiwar
3,Nicholas Stoia
4,John V Brown Jr.
5,Mark A Neal
6,Misha Angrist
7,John D French
8,Karin Shapiro
9,Barry Gaspar
10,Ava Vinesett
11,Tsitsi Jaji
12,Richard J Powell
13,Wahneema Lubiano
14,Martin Paul Smith
15,Kerry L Haynie
16,Ashley Jardina
17,Patrice D Douglass
18,Negar Mottahedeh
19,James Lorand Matory
20,Joseph Winters
21,Patrick Douthit
22,Thomas F DeFrantz
23,Michaeline A Crichlow
24,Sucheta Mazumdar
25,Makeba P Wilbourn
26,Leia Teresa Wright
27,Leela Prasad
28,Rebecca Mendelson
29,Omid Safi
30,Adam Mestyan
31,Nicole Elizabeth Barnes
32,Hsiao-Mei Ku
33,Satendra Khanna
34,John R Freeman
35,Erdag M Goknar
36,Nancy Kalow
37,Ellen McLarney
38,Fadi A Bardawil
39,Ozgun Eylul Iscen
40,Mbaye B Lo
41,Carlos Rojas
42,Erika S Weinthal
43,David N Need
44,David Wong
45,Mohsen Kadivar
46,Ellen F Davis
47,Eileen Chow
48,Ralph A Litzinger
49,Nayoung Aimee Kwon
50,Mona F Hassan
51,Kang Liu
52,William Seaman
53,Neal C Bell
54,Micaela W Janan
55,Beth Holmgren
56,Raquel Salvatella De Prada
57,Miguel Rojas Sotelo
58,Gary Hawkins
59,Andrea E Woods Valdes
60,Joshua M Gibson
61,Lynn Owens
62,Markos Hadjioannou
63,Johanna (Jody) McAuliffe
64,Amal Boumaaza
65,Cheikh Saadbouh Cheikh Abdi ValL
66,Maha Houssami
67,Julia K McHugh
68,Hans J Van Miegroet
69,Staff
70,Susanna Caviglia
71,Annabel Wharton
72,Alexis M Clark
73,Maurizio Forte
74,Timothy D Shea
75,Kristin L Huffman
76,Esther L Gabara
77,Mary Sharp
78,Beverly McIver
79,Stephen L Hayes
80,John W Moses Jr.
81,William G Fick
82,Augustus E Wendell
83,Anna S Post-Rust
84,Erin M West
85,William Bamberger
86,Douglas Herbert
87,Shambhavi Kaul
88,Brian E Coggins
89,Francois M Lutzoni
90,Julie A Reynolds
91,Alexander Glass
92,Kathleen Pryer
93,Sherryl A Broverman
94,Alison Hill
95,John H Willis
96,Laurie C Mauger
97,Amy K Schmid
98,Lindsay R Saunders
99,Tai-ping Sun
100,David R McClay
101,Pelin Cayirlioglu Volkan
102,Thomas Newpher
103,Jean- Christophe Domec
104,William Wilson
105,Susan C Alberts
106,Stephen Nowicki
107,Gregory A Wray
108,Ron Grunwald
109,Justin Wright
110,Zhen-Ming Pei
111,John Michael Mercer
112,Amy Bejsovec
113,Emily F Ozdowski
114,Sonke Johnsen
115,Sheila N. Patek
116,V Louise Roth
117,Clifford Cunningham
118,Charles S Wallace
119,Elizabeth K Bucholz
120,Junjie Yao
121,Amanda Randles
122,Kathryn R Nightingale
123,Jason Frederick Luck
124,Olaf T Von Ramm
125,Mark L Palmeri
126,Zbigniew J Kabala
127,Chris E Brasier
128,Guglielmo Scovazzi
129,Joseph C Nadeau
130,Heileen Hsu-Kim
131,David E Schaad
132,Eric J Mlyn
133,Christopher P. Roy
134,Matthew L Becker
135,Daniel Fowler
136,Steven W Baldwin
137,Farrell Kersey
138,Ross Widenhoefer
139,Steven J. Malcolmson
140,Warren Sloan Warren
141,Kevin Welsher
142,Weitao Yang
143,Todd E Woerner
144,Dorian A Canelas
145,Emily Derbyshire
146,Dewey G McCafferty
147,Megan M Golonka
148,Tianshu He
149,Shu Zhang
150,Chi-Ju Hsieh
151,Ya-Chuan Chou
152,Kun Shan Carolyn Lee
153,Yan Liu
154,Shu-Ting Hsu
155,Alicia Jimenez
156,Jed W Atkins
157,Robert Charles Bingle
158,Susan H Rodger
159,Astrid A Giugni
160,Brandon Fain
161,Owen L Astrachan
162,Bruce R Donald
163,Lisa Wu Wills
164,Alexander Hartemink
165,Robert C Duvall
166,Jeffrey S Chase
167,Sudeepa Roy
168,Debmalya Panigrahi
169,John A Board Jr.
170,Zhenqiang Gong
171,Carlo Tomasi
172,John Harer
173,Paul L Bendich
174,Jacques Pierre
175,Christine Folch
176,Lisa Beth Bergene
177,Deonte L. Harris
178,Gareth O Price
179,Gail L Clements
180,Michael P Hardt
181,Brad Rogers
182,Zoila Airall
183,Robin Kirk
184,Kelly L Alexander
185,Ara A Wilson
186,Katya Wesolowski
187,Diane M Nelson
188,Joan E Clifford
189,Rosa Solorzano
190,Anne Allison
191,Luciana Fellin
192,Michael Newcity
193,Purnima Shah
194,Eric N Pritchard
195,Nina O. Wheeler
196,Natalie A Marrone
197,Blythe A Williams
198,Daniel M Ellison
199,Sarah M Wilbur
200,Scott A Huettel
201,Christopher Wilson Sims
202,Karen Price
203,Michelle Lanier
204,John H Biewen
205,Katherine Hyde
206,David A Graham
207,David R Smith
208,Michael R Gustafson II
209,Aaron Franklin
210,Willie Padilla
211,David Brady
212,Leslie M Collins
213,Mary T Knox
214,Hisham Z Massoud
215,Martin A Brooke
216,William T Joines
217,Lisa G Huettel
218,Leila J Bridgeman
219,Miroslav Pajic
220,Douglas P Nowacek
221,Stacy L Tantum
222,Arthur Robert Calderbank
223,Connel R Fullenkamp
224,Federico A Bugni
225,Dirk Philipsen
226,Michael Munger
227,Charles J Skender
228,Thomas Nechyba
229,Todd Sarver
230,Andrea Lanteri
231,Mark Borsuk
232,Erik Wibbels
233,John Forlines III
234,Emma B Rasiel
235,Giovanni Zanalda
236,Jason Samuel Brent
237,Kevin D. Hoover
238,Alexander Rosenberg
239,Genna R Miller
240,Marc A Jeuland
241,William A Darity
242,Timur Kuran
243,Rafael Dix Carneiro
244,Richard Salsman
245,Xiao Yu Wang
246,John G Caccavale
247,Lawrence L Kreicher
248,Grace Kim
249,Ronald L Leven
250,Linsey Lebowitz Hughes
251,Christopher D Timmins
252,Pietro Peretto
253,Philipp Sadowski
254,Tim Bollerslev
255,Michelle Connolly
256,Kent P Kimbrough
257,Amy Anderson
258,Kisha N Daniels
259,David Michael Malone
260,Jehanne Gheith
261,Susan R Wynn
262,Eliana J Schonberg
263,Devdutta G Sangvai
264,Jennifer Lee Hill
265,Li-Chen Chin
266,Lisa Carboni
267,Jan Riggsbee
268,Colleen M Scott
269,Brian L McDonald
270,Adam Edward Hollowell
271,Amanda Marie Cyprowski
272,Rebecca A Simmons
273,Nico Hotz
274,Josiah Knight
275,Tom Jay Cinq-Mars
276,Lincoln F Pratson
277,Cathy E Shuman
278,Nicole D'Ann Higgins
279,Taylor H Black
280,Joseph Donahue
281,John Paul Gritton
282,Saskia Ziolkowski
283,Kathy A Psomiades
284,Myles Oldershaw
285,Victor H Strandberg
286,Julianne Werlin
287,Akhil Sharma
288,Michael D'Alessandro
289,Leonard Tennenhouse
290,David Aers
291,Thomas J Ferraro
292,Nancy Armstrong
293,Nathaniel E Mackey
294,Robyn Wiegman
295,Ranjana Khanna
296,Charlotte S Sussman
297,Rebecca L Vidra
298,Jennifer J Wernegreen
299,Charlotte Clark
300,Stuart L Pimm
301,Gabriela Goldin Marcovich
302,Gary Stephen Dwyer
303,Donald Hornstein
304,Ryan Michael Juskus
305,Nicolette L Cagle
306,Dalia Patino Echeverri
307,Prasad S Kasibhatla
308,David E Hinton
309,Emily M Klein
310,Alan E Boudreau
311,David C Toole
312,Juliette Duara
313,Ian R Macmullen
314,Christian Paul Ferney
315,Suzanne E Shanahan
316,Wayne John Norman
317,Denise K Comer
318,John Rose
319,Lynn Smith-Lovin
320,Elvira Vilches
321,Herman Pontzer
322,Justin A Ledogar
323,Elaine Elizabeth Gomez Guevara
324,Richard F Kay
325,Steven E Churchill
326,Leslie J Digby
327,Laura M Florand
328,Christelle M Gonthier
329,Deborah S Reisinger
330,Michele L Longino
331,Beth A Sullivan
332,Susanne C Freytag
333,April Henry
334,Corinne P Crane
335,Adelheid Madden
336,Ingeborg Walther
337,Jakob Norberg
338,Henry Pickford
339,Kristen Dolan
340,Stefani Engelstein
341,Sumedha Ariely
342,Amy L Hall
343,Frances S Hasso
344,Kathryn Whetten
345,Megan Huchko
346,Dennis A Clements
347,Jen'nan G Read
348,Joseph Egger
349,Eric Green
350,Clinton Douglas Kinkade
351,William A Johnson
352,Anna Krylova
353,Ulrike Prattes
354,Janie K Long
355,Jessica Namakkal
356,Antonio Viego
357,Kathi Weeks
358,Jocelyn H Olcott
359,Peter H Sigal
360,Kusum Knapczyk
361,Prasenjit Duara
362,Garrett Dale McKinnon
363,Kristen Neuschel
364,Gerald L Wilson
365,Tamar I Rozett
366,John Reeve Huston
367,Jehangir Y Malegam
368,Thomas Robisheaux
369,Carol Apollonio
370,Martin A Miller
371,Mustafa O Tuna
372,Juliana Barr
373,Gunther W Peck
374,Nancy K MacLean
375,Simon C Partner
376,Sumathi Ramaswamy
377,Matthew T Nash
378,Jamie N Jones
379,Karen Remmer
380,Catherine Mathers
381,Hannah N Rozear
382,Victoria E Szabo
383,Jules Odendahl-James
384,David John Zielinski
385,Fiene Leunissen
386,Marc Zvi Brettler
387,Malachi H Hacohen
388,Naoko Kurokawa
389,Azusa Saito
390,Yunchuan Chen
391,Barohny Eun
392,Eunyoung Kim
393,Jung Min Lee
394,Gustavo PT Furtado
395,Sinja K√ºppers
396,Rex Crews
397,Michael Abraham Freeman
398,Antonio Robert LoPiano
399,William Erickson Bridges
400,Edna Andrews
401,Claudia Milian
402,Lillian B Pierce
403,Shira Viel
404,Clark B Bray
405,Ran Baron
406,Jesse Kyle Silliman
407,Surya Tapas Tokdar
408,Pratima Hebbar
409,Andrea R Agazzi
410,Victoria S Akin
411,Leslie D Saper
412,David Kraines
413,Samit Dasgupta
414,Paul S Aspinwall
415,Faramarz Vafaee
416,Winston S Leslie
417,Michael C Reed
418,Inmaculada Concepcion Sorribes Rodriguez
419,Hubert Bray
420,Thomas Brothers
421,Edward Triplett
422,Susanne B Haga
423,Rachelle M Macon
424,Martha Reeves
425,Steven A Hicks
426,George L Grody
427,Edwyn A Tiryakian
428,Douglas P Green
429,Samuel A Veraldi
430,Levi Blackwell
431,Shannon Marlena Stanich
432,Paris Vincent Monroe Scott
433,Eva Alexandrina LaFiura
434,Andrew C Hertel
435,Anne E West
436,Court Hull
437,Jeremy Kay
438,Karen L Murphy
439,Minna Ng
440,Nicole L Schramm-Sapyta
441,Henry Yin
442,Roberto E Cabeza
443,Ahmad R Hariri
444,Dale Purves
445,Jessica K Sawyer
446,Kevin S LaBar
447,Staci D Bilbo
448,Leonard E White
449,Jan (Tobias) Tobias Overath
450,Marty G Woldorff
451,David C Rubin
452,Tobias Egner
453,Shahla Adel
454,Jesse Summers
455,Katherine A Brading
456,Sheri Branson
457,Seth Shamp
458,Jordan Bar
459,Kim N. McNally
460,Maria Finnegan
461,John G Welsh
462,Alex Beguinet
463,Timothy Edward Miller
464,Janis L Hampton
465,Steven L Kaufmann
466,Franca B Alphin
467,John Moore
468,Scott D Yakola
469,Gregory A Dale
470,Ronen M Plesser
471,Joshua E Socolar
472,Ashutosh V Kotwal
473,Ying Wu
474,Derek P Leadbetter
475,Calvin R Howell
476,Thomas Barthel
477,Arya Roy
478,Robert G Brown
479,Kenneth Alan McKenzie
480,Christoph F Schmidt
481,Michael A Troxel
482,Yuriy V Bomze
483,Haiyan Gao
484,Seog H Oh
485,Roxanne Springer
486,Christopher Walter
487,Mark Stencel
488,Jeremy Bowers
489,William R Adair
490,Philip M Napoli
491,Joseph M Grieco
492,Scott De Marchi
493,Emerson Niou
494,Edmund J Malesky
495,David Siegel
496,Kyle Beardsley
497,John H Aldrich
498,Curtis Glenn Bram
499,Kristin A Goss
500,Melanie Manion
501,Abdeslam E M Maghraoui
502,Christopher Johnston
503,Adriane S Fresh
504,Luciana Parisi
505,Nachman Shai
506,Pablo Beramendi Alvarez
507,Magda Silva
508,Larissa Soares Carneiro
509,Bridgette M Hard
510,Ruth S Day
511,James Y Shah
512,Nancy L Zucker
513,Monika Bauer
514,Michael S Gaffrey
515,Francis J. Keefe
516,John Blackshear
517,Miriam K Ehrensaft
518,Nahal Kaivan
519,Sarah Gaither
520,Martha Putallaz Sheppard
521,Angela Vieth
522,Paul J Seli
523,Robert J Thompson
524,Nicholas W Carnes
525,Nathan A Boucher
526,Ingrid Byerly
527,Janet Prvu Bettger
528,Suzanne Katzenstein
529,Shane T Stansbury
530,Anthony S Brown
531,Lalita M Kaligotla
532,Carol F Fox
533,Simon Miles
534,Jay A Pearson
535,Christina Gibson-Davis
536,Alison Hagy
537,Kenneth S Rogerson
538,David Ashley Morgan
539,Jennifer W Knust
540,Andrew T Coates
541,Joanne Van Tuyl
542,Marina Miroshnikova
543,Elena A Maksimova
544,Mark Delong
545,Craig M Rawlings
546,Kieran J Healy
547,Maria Febbo
548,Mary G Hovsepian
549,Tyson H Brown
550,Deborah Gold
551,Jenifer Leigh Hamil-Luker
552,Scott M. Lynch
553,Jessi Streib
554,Bai Gao
555,Ashley Lauren Harrell King
556,Martin Ruef
557,Christopher Bail
558,Angel Harris
559,Edgar Andres Virguez Rodriguez
560,Joseph William Mulligan
561,Stephanie Sieburth
562,Yue Jiang
563,Maria A Tackett
564,Robert David Eisinger
565,Simon TSZ Fung Mak
566,Rebecca Steorts
567,Amy H Herring
568,Edwin S Iversen
569,Alessandro M Ferrone
570,Jeff M Storer
571,Talya E Klein
572,Robert D Gobert
573,Didem Havlioglu
574,Peter A Knapczyk
575,Margaret Joan Symuleski
576, Ralph Bruce Lawrence
577, Liza Moya Theriault
578, Jennifer Chang
579, Rebecca Stein
580, Laura S Lieber
581, Michael D. Windham
582, L. Ryan Baugh
583, Laurie C Mauger
584, William F Morris
585, Zhen-Ming Pei
586, David R Sherwood
587, Susanne B Haga
588, Nina T Sherwood
589, Kengyeh K Chu
590, Michael P Hewner
591, Christina Williams
592, Martin A Brooke
593, Jennifer S Jhun
594, Jan Riggsbee
595, Jennifer S Ahern-Dodson
596, Ella A Saterbak
597, Rebecca A Simmons
598, Elizabeth K Bucholz
599, Kevin M Caves
600, Michael Howard Bergin
601, Sophia T Santillan
602, Linda Daniel
603, Luciana Fellin
604, Philip J Stern
605, Talisa Dauz
606, Kevin Franks
607, Yuriy V Bomze
608, Michael T Dukes
609, Syed (Yousuf) Zafar
610, Marina Miroshnikova
611, Tuncay A Antepli
612, Michael Rizk
613, Nan M Jokerst
614, Jennifer West